Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume
2021-01-01 00:00:00,UPSP20S1,16.1579,2.55,12.9,2.09,8399.0,3.2,13.6079,0.0002488391475175616,38.200001,40.950001,36.259998,40.75,40.75,969000.0
2021-02-01 00:00:00,UPSP20S1,16.1446,2.82,4.56,2.39,8219.0,3.33,13.3246,0.0002907896337753985,63.0,70.849998,61.900002,70.25,70.25,813000.0
2021-03-01 00:00:00,UPSP20S1,16.1359,3.11,5.29,2.23,8041.0,3.5,13.0259,0.0002773286904613854,66.779999,73.459999,65.870003,66.650002,66.650002,1309100.0
2021-04-01 00:00:00,UPSP20S1,16.1041,3.52,7.77,2.09,7765.0,3.8,12.5841,0.00026915647134578233,133.940002,147.479996,133.0,144.279999,144.279999,1871600.0
2021-05-01 00:00:00,UPSP20S1,16.094,3.94,8.37,1.5,7530.0,4.09,12.154000000000002,0.00019920318725099602,103.900002,112.5,103.68,109.019997,109.019997,1199500.0
2021-06-01 00:00:00,UPSP20S1,16.0765,4.09,37.88,1.81,7328.0,4.08,11.9865,0.00024699781659388647,150.0,155.212997,136.0,144.490005,144.490005,3523100.0
2021-07-01 00:00:00,UPSP20S1,16.0727,4.36,5.95,1.69,7129.0,4.2,11.712700000000002,0.00023705989619862532,126.0,130.880005,122.68,123.919998,123.919998,5055900.0
2021-08-01 00:00:00,UPSP20S1,16.0683,4.53,3.94,1.72,6893.0,4.21,11.5383,0.0002495285071811983,122.0,134.149994,121.0,133.410004,133.410004,4736600.0
2021-09-01 00:00:00,UPSP20S1,16.0507,4.75,5.29,1.82,6674.0,4.28,11.300699999999999,0.00027270002996703625,228.326996,228.690002,222.75,226.809998,226.809998,2525800.0
2021-10-01 00:00:00,UPSP20S1,16.0137,4.96,5.45,2.0,6450.0,4.36,11.0537,0.000310077519379845,311.834015,315.567993,285.549988,298.769989,298.769989,5595700.0
2021-11-01 00:00:00,UPSP20S1,15.9936,5.09,3.67,2.31,6227.0,4.35,10.9036,0.0003709651517584712,323.779999,346.880005,323.019989,344.730011,344.730011,3517100.0
2021-12-01 00:00:00,UPSP20S1,15.9708,5.25,4.73,2.26,6030.0,4.39,10.7208,0.00037479270315091205,206.289993,209.029999,176.003998,179.649994,179.649994,6290500.0
2022-01-01 00:00:00,UPSP20S1,15.9735,5.49,7.43,1.91,5791.0,4.54,10.4835,0.0003298221378000345,153.229996,156.899994,151.070007,151.300003,151.300003,2545000.0
2022-02-01 00:00:00,UPSP20S1,15.9424,5.68,6.17,2.3,5556.0,4.64,10.2624,0.00041396688264938803,111.300003,120.748001,106.400002,117.330002,117.330002,11497000.0
2022-03-01 00:00:00,UPSP20S1,15.9671,5.76,2.95,2.53,5323.0,4.62,10.2071,0.0004752958857786962,160.0,161.0,144.130005,145.399994,145.399994,12414200.0
2022-04-01 00:00:00,UPSP20S1,15.9408,5.9,5.26,2.6,5072.0,4.67,10.040799999999999,0.0005126182965299685,109.260002,111.989998,105.559998,109.029999,109.029999,8758800.0
2022-05-01 00:00:00,UPSP20S1,15.895,6.05,6.2,3.17,4868.0,4.79,9.844999999999999,0.0006511914543960559,73.139999,83.620003,72.449997,83.599998,83.599998,7461300.0
2022-06-01 00:00:00,UPSP20S1,15.8785,6.2,6.49,2.87,4675.0,4.85,9.6785,0.0006139037433155081,52.139999,54.150002,45.25,45.959999,45.959999,10214000.0
2022-07-01 00:00:00,UPSP20S1,15.8503,6.34,6.78,2.71,4494.0,4.95,9.5103,0.0006030262572318647,32.060001,33.369999,31.27,32.82,32.82,4344600.0
2022-08-01 00:00:00,UPSP20S1,15.8328,6.49,7.66,2.75,4341.0,5.07,9.3428,0.0006334945865008062,24.030001,24.57,23.17,23.940001,23.940001,5652100.0
2022-09-01 00:00:00,UPSP20S1,15.7825,6.59,5.38,3.27,4152.0,5.1,9.1925,0.0007875722543352602,25.219999,26.07,24.25,25.950001,25.950001,6069500.0
