,Unnamed: 0_x,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change,d1_Vol,d7_Vol,d30_Vol,d90_Vol,d1_BenchVol,d7_BenchVol,d30_BenchVol,d90_BenchVol,d1_ExcessVol,d7_ExcessVol,d30_ExcessVol,d90_ExcessVol,Unnamed: 0_y
0,0,2020-12-16,26.0,30.01,22.610001,29.469999,29.469999,13459800,35.77,46.32,55.220001,112.279999,0.2137767632771212,0.5717679528933814,0.8737700330427565,2.8099763423812805,-0.0082067415730337,0.0463047541247384,0.0067328558578216,-0.0225010711901457,0.0457005045172423,0.326918591955888,0.7634740706435398,7.895967044742479,6.735060724655966e-05,0.0021441302545524,4.533134800220263e-05,0.000506298204704,0.0456331539099957,0.3247744617013356,0.7634287392955376,7.895460746537775,2207.0
1,1,2020-12-17,28.643,39.849998,28.25,35.77,35.77,7042200,44.09,43.959999,63.77,123.730003,0.2325971484484204,0.2289627900475259,0.7827788649706457,2.459043975398378,0.0719208767603212,-0.0313101692249677,0.0096640658222388,0.0585218248034395,0.0541014334663365,0.0524239592263474,0.6127427514447324,6.046897272943059,0.0051726125139733,0.0009803266968961,9.339416821656413e-05,0.0034248039783244,0.0489288209523632,0.0514436325294513,0.6126493572765159,6.043472468964734,2208.0
2,2,2020-12-18,38.02,48.66,37.060001,44.09,44.09,7266500,41.099998,42.630001,64.470001,142.949997,-0.0678158766160127,-0.0331140621456113,0.4622363574506689,2.242231730551145,-0.0104921942159589,-0.0192473431354805,0.0156732732527753,0.011152588060159,0.0045989931211982,0.0010965411117834,0.2136624501492625,5.027603133490383,0.0001100861394654,0.0003704602177749,0.0002456514944561,0.0001243802204396,0.0044889069817328,0.0007260808940084,0.2134167986548064,5.027478753269944,2209.0
3,3,2020-12-21,44.0,47.990002,40.0,41.099998,41.099998,2833800,47.84,40.75,67.360001,134.490005,0.1639903242817677,-0.0085157668377502,0.6389295444734571,2.272263054611341,0.0433401643612048,-0.0325008554545922,-0.0085587912419159,-0.0667314914191812,0.0268928264580393,7.25182848349267e-05,0.4082309628010593,5.1631793893516615,0.0018783698468562,0.0010563056052802,7.325290752269631e-05,0.0044530919470282,0.025014456611183,-0.0009837873204453,0.4081577098935366,5.158726297404633,2212.0
4,4,2020-12-22,43.099998,48.080002,40.650002,47.84,47.84,3727400,46.32,38.869999,64.449997,129.279999,-0.0317725752508362,-0.1875000209030101,0.347198933946488,1.7023411162207358,0.0202789776662135,-0.0071487748321276,-0.0152097896425065,0.020188970725558,0.00100949653807,0.0351562578386292,0.1205470997335777,2.8979652759756607,0.0004112369351867,5.1104981600461e-05,0.0002313377009692,0.0004075945389574,0.0005982596028832,0.0351051528570287,0.1203157620326084,2.8975576814367034,2213.0
5,5,2020-12-23,47.5,51.397999,43.02,46.32,46.32,3142400,43.959999,40.75,64.699997,128.860001,-0.0509499352331606,-0.1202504317789292,0.3968047711571674,1.7819516623488778,-0.0313101692249677,0.1082275131188571,-0.0263440158019898,0.0111565140761334,0.0025958959002632,0.0144601663430189,0.1574540264130919,3.175351726947929,0.0009803266968961,0.0117131945958923,0.0006940071685754,0.0001244678063309,0.0016155692033671,0.0027469717471265,0.1567600192445165,3.175227259141598,2214.0
6,6,2020-12-24,46.59,47.470001,42.505001,43.959999,43.959999,873100,42.630001,43.990002,65.150002,144.279999,-0.0302547322623916,0.0006825068399112,0.4820291965884711,2.2820746651973307,-0.0192473431354805,-0.0205514348342585,0.0341021708155862,0.041651711888988,0.000915348824269,4.658155865256042e-07,0.2323521463637269,5.207864777535509,0.0003704602177749,0.0004223614737467,0.0011629580543354,0.0017348651032832,0.000544888606494,-0.0004218956581602,0.2311891883093915,5.206129912432226,2215.0
7,7,2020-12-28,44.310001,45.0,38.049999,42.630001,42.630001,1882200,40.75,48.369999,62.189999,140.520004,-0.0441004212033679,0.1346469121593498,0.4588317509070665,2.296270248738676,-0.0325008554545922,0.0304268872575077,-0.0397474226484572,-0.0173716656545912,0.0019448471503144,0.0181297909540476,0.2105265756404443,5.27285705524238,0.0010563056052802,0.000925795468181,0.001579857607195,0.0003017747676149,0.0008885415450341,0.0172039954858665,0.2089467180332492,5.272555280474765,2219.0
8,8,2020-12-29,42.040001,42.490002,39.509998,40.75,40.75,646400,38.869999,52.139999,70.25,144.300003,-0.0461349938650307,0.2795091779141105,0.7239263803680982,2.54110436809816,-0.0071487748321276,0.0517613140296656,0.0595547627331132,0.0167186304894769,0.0021284376589264,0.0781253805382219,0.5240694041928564,6.457211409567548,5.1104981600461e-05,0.0026792336300776,0.0035467697641974,0.0002795126054436,0.0020773326773259,0.0754461469081442,0.520522634428659,6.456931896962105,2220.0
9,9,2020-12-30,41.200001,41.5,38.110001,38.869999,38.869999,1049500,40.75,55.389999,75.470001,126.07,0.0483663763407866,0.4250064426294428,0.9416002814921604,2.243375437184858,0.1082275131188571,0.0614270649141271,0.0465448157589428,-0.0540080933959318,0.0023393063603386,0.1806304762765339,0.8866110901061158,5.032733352164353,0.0117131945958923,0.0037732843039643,0.0021664198740339,0.0029168741522636,-0.0093738882355537,0.1768571919725695,0.884444670232082,5.02981647801209,2221.0
